"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","HandCuff","PepperSpray","Firearm","Other","CEW","Stopped","Verbal","Summons"
"22387","Male","Other",2005,7,"Theft",0,7,3,0,0,0,0,0,10,0,1
"22388","Female","White",2005,7,"Theft",0,0,0,0,0,0,1,0,1,0,0
"22389","Male","White",2005,7,"Theft",3,4,3,1,0,0,0,0,6,0,0
"32055","Female","Black",2005,7,"Tresspass",2,1,2,2,0,0,1,0,4,0,0
"32056","Male","Black",2005,7,"Tresspass",2,7,3,2,0,0,5,0,32,0,0
"32057","Female","Hispanic",2005,7,"Tresspass",0,0,0,0,0,0,0,0,11,0,0
"32058","Male","Hispanic",2005,7,"Tresspass",3,5,4,2,0,0,2,0,37,0,0
"32059","Female","Other",2005,7,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32060","Male","Other",2005,7,"Tresspass",0,0,0,0,0,0,0,0,3,0,0
"32061","Unknown","Other",2005,7,"Tresspass",0,1,0,0,0,0,1,0,1,0,0
"32062","Male","White",2005,7,"Tresspass",1,1,1,1,0,0,0,0,3,0,0
"39207","Male","Black",2005,7,"Weapon",0,9,2,0,0,1,2,0,11,0,0
"39208","Male","Hispanic",2005,7,"Weapon",0,9,1,0,0,0,3,0,13,0,2
"39209","Male","White",2005,7,"Weapon",0,4,0,0,0,0,0,0,4,0,0
"404","Male","Black",2005,9,"Assault",1,6,2,1,0,0,0,0,6,0,1
"405","Male","Hispanic",2005,9,"Assault",1,5,1,0,0,0,1,0,8,0,0
"406","Unknown","Other",2005,9,"Assault",0,2,0,0,0,0,0,0,2,0,0
"407","Male","White",2005,9,"Assault",0,0,0,0,0,0,0,0,4,0,0
"7723","Female","Black",2005,9,"Other",0,0,0,0,0,0,0,0,1,0,0
"7724","Male","Black",2005,9,"Other",0,2,0,0,0,0,0,0,14,0,0
"7725","Male","Hispanic",2005,9,"Other",0,1,0,0,0,0,0,0,8,0,0
"7726","Unknown","Other",2005,9,"Other",0,0,0,0,0,0,0,0,2,0,0
"7727","Female","White",2005,9,"Other",0,0,0,0,0,0,0,0,4,0,0
"7728","Male","White",2005,9,"Other",0,1,0,0,0,0,0,0,9,0,0
"15065","Female","Black",2005,9,"Substance",1,1,1,0,0,0,0,0,2,0,0
"15066","Male","Black",2005,9,"Substance",3,14,6,0,0,0,1,0,30,0,1
"15067","Female","Hispanic",2005,9,"Substance",1,1,1,0,0,0,0,0,1,0,0
"15068","Male","Hispanic",2005,9,"Substance",1,5,1,0,0,0,0,0,9,0,0
